id	bodyPart	equipment	gifUrl	name_ejercise	target	estatus
59	parte superior de los brazos	barbell	http://d205bpvrqc9yn1.cloudfront.net/0059.gif	barbell lying preacher curl	biceps	1
65	parte superior de los brazos	barbell	http://d205bpvrqc9yn1.cloudfront.net/0065.gif	barbell one arm floor press	triceps	1
68	parte superior de las piernas	barbell	http://d205bpvrqc9yn1.cloudfront.net/0068.gif	barbell one leg squat	quads	1
75	espalda	barbell	http://d205bpvrqc9yn1.cloudfront.net/0075.gif	barbell rear delt raise	delts	1
88	parte inferior de las piernas	barbell	http://d205bpvrqc9yn1.cloudfront.net/0088.gif	barbell seated calf raise	calves	1
97	parte superior de las piernas	barbell	http://d205bpvrqc9yn1.cloudfront.net/0097.gif	barbell side split squat v. 2	quads	1
98	parte superior de las piernas	barbell	http://d205bpvrqc9yn1.cloudfront.net/0098.gif	barbell side split squat	quads	1
99	parte superior de las piernas	barbell	http://d205bpvrqc9yn1.cloudfront.net/0099.gif	barbell single leg split squat	quads	1
105	espalda	barbell	http://d205bpvrqc9yn1.cloudfront.net/0105.gif	barbell standing bradford press	delts	1
109	parte superior de los brazos	barbell	http://d205bpvrqc9yn1.cloudfront.net/0109.gif	barbell standing overhead triceps extension	triceps	1
112	cintura	barbell	http://d205bpvrqc9yn1.cloudfront.net/0112.gif	barbell standing twist	abs	1
113	parte superior de los brazos	barbell	http://d205bpvrqc9yn1.cloudfront.net/0113.gif	barbell standing wide-grip curl	biceps	1
115	parte superior de las piernas	barbell	http://d205bpvrqc9yn1.cloudfront.net/0115.gif	barbell stiff leg good morning	glutes	1
117	parte superior de las piernas	barbell	http://d205bpvrqc9yn1.cloudfront.net/0117.gif	barbell sumo deadlift	glutes	1
118	espalda	barbell	http://d205bpvrqc9yn1.cloudfront.net/0118.gif	barbell reverse grip bent over row	upper back	1
120	espalda	barbell	http://d205bpvrqc9yn1.cloudfront.net/0120.gif	barbell upright row	delts	1
121	espalda	barbell	http://d205bpvrqc9yn1.cloudfront.net/0121.gif	barbell upright row v. 3	delts	1
128	espalda	rope	http://d205bpvrqc9yn1.cloudfront.net/0128.gif	battling ropes	delts	1
129	parte superior de los brazos	body weight	http://d205bpvrqc9yn1.cloudfront.net/0129.gif	bench dip (knees bent)	triceps	1
130	parte superior de las piernas	body weight	http://d205bpvrqc9yn1.cloudfront.net/0130.gif	bench hip extension	glutes	1
137	parte superior de los brazos	body weight	http://d205bpvrqc9yn1.cloudfront.net/0137.gif	body-up	triceps	1
139	parte superior de los brazos	body weight	http://d205bpvrqc9yn1.cloudfront.net/0139.gif	biceps narrow pull-ups	biceps	1
148	espalda	cable	http://d205bpvrqc9yn1.cloudfront.net/0148.gif	cable alternate shoulder press	delts	1
150	espalda	cable	http://d205bpvrqc9yn1.cloudfront.net/0150.gif	cable bar lateral pulldown	lats	1
151	pecho	cable	http://d205bpvrqc9yn1.cloudfront.net/0151.gif	cable bench press	pectorals	1
152	parte superior de los brazos	cable	http://d205bpvrqc9yn1.cloudfront.net/0152.gif	cable concentration extension (on knee)	triceps	1
